Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DUXAP10","Double Homeobox A Pseudogene 10","Pseudogene","","19","GC14M019294","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUXAP10"
"SLC8A1-AS1","SLC8A1 Antisense RNA 1","RNA Gene","","19","GC02P039752","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1-AS1"
"LINC01018","Long Intergenic Non-Protein Coding RNA 1018","RNA Gene","","18","GC05P006582","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01018"
"SLC25A21-AS1","SLC25A21 Antisense RNA 1","RNA Gene","","18","GC14P037171","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A21-AS1"
"SUMO1P3","SUMO1 Pseudogene 3","Pseudogene","","18","GC01P160317","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO1P3"
"TMEM44-AS1","TMEM44 Antisense RNA 1","RNA Gene","","18","GC03P194620","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM44-AS1"
"DUXAP8","Double Homeobox A Pseudogene 8","Pseudogene","","17","GC22P015784","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUXAP8"
"LINC00294","Long Intergenic Non-Protein Coding RNA 294","RNA Gene","","17","GC11P033077","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00294"
"LINC00645","Long Intergenic Non-Protein Coding RNA 645","RNA Gene","","17","GC14P065482","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00645"
"LINC00707","Long Intergenic Non-Protein Coding RNA 707","RNA Gene","","17","GC10P007672","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00707"
"FAM224A","Family With Sequence Similarity 224 Member A","RNA Gene","","16","GC0YP018326","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM224A"
"OR7E156P","Olfactory Receptor Family 7 Subfamily E Member 156 Pseudogene","Pseudogene","","16","GC13P063737","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OR7E156P"
"SNHG25","Small Nucleolar RNA Host Gene 25","RNA Gene","","16","GC17P176152","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG25"
"LINC01494","Long Intergenic Non-Protein Coding RNA 1494","RNA Gene","","14","GC02M218900","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01494"
"CACNA1C-AS2","CACNA1C Antisense RNA 2","RNA Gene","","13","GC12M002668","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C-AS2"
"ITGAL-AS1","ITGAL Antisense RNA 1","RNA Gene","","13","GC16M058303","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAL-AS1"
"ITPRIPL2-AS1","ITPRIPL2 Antisense RNA 1","RNA Gene","","13","GC16M058305","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPRIPL2-AS1"
"CMM","Cutaneous Malignant Melanoma/Dysplastic Nevus","Genetic Locus","","9","GC01U990027","1.46763670444489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMM"
"LOC283731","Uncharacterized LOC283731","RNA Gene","","16","GC15M170304","1.46683239936829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC283731"
"DDX5","DEAD-Box Helicase 5","Protein Coding","P17844","59","GC17M064498","1.46510124206543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX5"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","P51684","56","GC06P167111","1.46428918838501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"ELMOD1","ELMO Domain Containing 1","Protein Coding","Q8N336","44","GC11P131381","1.46377217769623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMOD1"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","60","GC15M051208","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"PPIA","Peptidylprolyl Isomerase A","Protein Coding","P62937","58","GC07P052663","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIA"
"FOXP2","Forkhead Box P2","Protein Coding","O15409","56","GC07P114086","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2"
"WNT7B","Wnt Family Member 7B","Protein Coding","P56706","56","GC22M045920","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT7B"
"PODXL","Podocalyxin Like","Protein Coding","O00592","55","GC07M131500","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PODXL"
"EEF1G","Eukaryotic Translation Elongation Factor 1 Gamma","Protein Coding","P26641","51","GC11M146052","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1G"
"MIR99A","MicroRNA 99a","RNA Gene","","29","GC21P016539","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"MIR299","MicroRNA 299","RNA Gene","","26","GC14P123636","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR299"
"MIR522","MicroRNA 522","RNA Gene","","19","GC19P053751","1.46305930614471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR522"
"MIRLET7A3","MicroRNA Let-7a-3","RNA Gene","","28","GC22P046112","1.46299540996552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A3"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","P05106","64","GC17P175826","1.46184980869293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","P29475","63","GC12M117208","1.46184980869293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"SOX11","SRY-Box Transcription Factor 11","Protein Coding","P35716","52","GC02P005707","1.45818400382996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX11"
"DCTN1","Dynactin Subunit 1","Protein Coding","Q14203","59","GC02M074361","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN1"
"SERPINB2","Serpin Family B Member 2","Protein Coding","P05120","57","GC18P063871","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB2"
"ARPC1B","Actin Related Protein 2/3 Complex Subunit 1B","Protein Coding","O15143","54","GC07P099374","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC1B"
"MATR3","Matrin 3","Protein Coding","P43243","54","GC05P162492","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MATR3"
"NOP2","NOP2 Nucleolar Protein","Protein Coding","P46087","50","GC12M006556","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP2"
"YY1AP1","YY1 Associated Protein 1","Protein Coding","Q9H869","50","GC01M155659","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1AP1"
"NOP58","NOP58 Ribonucleoprotein","Protein Coding","Q9Y2X3","48","GC02P202265","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP58"
"STK17A","Serine/Threonine Kinase 17a","Protein Coding","Q9UEE5","46","GC07P043582","1.45739603042603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK17A"
"S1PR3","Sphingosine-1-Phosphate Receptor 3","Protein Coding","Q99500","55","GC09P159606","1.45380198955536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S1PR3"
"MIR100","MicroRNA 100","RNA Gene","","30","GC11M122152","1.45380198955536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100"
"MIR675","MicroRNA 675","RNA Gene","","27","GC11M016603","1.45071864128113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR675"
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","P08123","60","GC07P094394","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"SLC16A1","Solute Carrier Family 16 Member 1","Protein Coding","P53985","60","GC01M113185","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","P41597","58","GC03P069069","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"KRT17","Keratin 17","Protein Coding","Q04695","57","GC17M041619","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17"
"EIF3A","Eukaryotic Translation Initiation Factor 3 Subunit A","Protein Coding","Q14152","55","GC10M119034","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3A"
"SFPQ","Splicing Factor Proline And Glutamine Rich","Protein Coding","P23246","55","GC01M035176","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFPQ"
"TUBB6","Tubulin Beta 6 Class V","Protein Coding","Q9BUF5","55","GC18P012307","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB6"
"TMED10","Transmembrane P24 Trafficking Protein 10","Protein Coding","P49755","54","GC14M075370","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED10"
"CNOT3","CCR4-NOT Transcription Complex Subunit 3","Protein Coding","O75175","53","GC19P172222","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT3"
"PSMC2","Proteasome 26S Subunit, ATPase 2","Protein Coding","P35998","53","GC07P103328","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC2"
"SRP68","Signal Recognition Particle 68","Protein Coding","Q9UHB9","51","GC17M076038","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP68"
"TARBP2","TARBP2 Subunit Of RISC Loading Complex","Protein Coding","Q15633","50","GC12P086879","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARBP2"
"CAPG","Capping Actin Protein, Gelsolin Like","Protein Coding","P40121","47","GC02M085391","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPG"
"LRRC15","Leucine Rich Repeat Containing 15","Protein Coding","Q8TF66","44","GC03M194357","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC15"
"MIR603","MicroRNA 603","RNA Gene","","18","GC10P024275","1.45015692710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR603"
"MMP12","Matrix Metallopeptidase 12","Protein Coding","P39900","58","GC11M102862","1.4493819475174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP12"
"DGKZ","Diacylglycerol Kinase Zeta","Protein Coding","Q13574","55","GC11P046332","1.44899916648865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKZ"
"LCK","LCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P06239","64","GC01P032251","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK"
"NEFL","Neurofilament Light Chain","Protein Coding","P07196","57","GC08M024950","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEFL"
"API5","Apoptosis Inhibitor 5","Protein Coding","Q9BZZ5","47","GC11P043311","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=API5"
"USP36","Ubiquitin Specific Peptidase 36","Protein Coding","Q9P275","43","GC17M078787","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP36"
"MIR503","MicroRNA 503","RNA Gene","","28","GC0XM135534","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR503"
"MIR101-2","MicroRNA 101-2","RNA Gene","","25","GC09P004867","1.44722509384155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR101-2"
"RRBP1","Ribosome Binding Protein 1","Protein Coding","Q9P2E9","48","GC20M017613","1.44576573371887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRBP1"
"ADGRG1","Adhesion G Protein-Coupled Receptor G1","Protein Coding","Q9Y653","54","GC16P057610","1.44367289543152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRG1"
"TRIM3","Tripartite Motif Containing 3","Protein Coding","O75382","42","GC11M016808","1.44367289543152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM3"
"MAP3K9","Mitogen-Activated Protein Kinase Kinase Kinase 9","Protein Coding","P80192","52","GC14M070722","1.44359588623047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K9"
"CRISPLD2","Cysteine Rich Secretory Protein LCCL Domain Containing 2","Protein Coding","Q9H0B8","47","GC16P084819","1.44357144832611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRISPLD2"
"MIRLET7A2","MicroRNA Let-7a-2","RNA Gene","","26","GC11M122146","1.44286119937897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A2"
"IRF3","Interferon Regulatory Factor 3","Protein Coding","Q14653","58","GC19M049659","1.44060289859772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3"
"GPR55","G Protein-Coupled Receptor 55","Protein Coding","Q9Y2T6","52","GC02M230907","1.44060289859772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR55"
"INF2","Inverted Formin 2","Protein Coding","Q27J81","52","GC14P122698","1.43987381458282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INF2"
"RAMP2-AS1","RAMP2 Antisense RNA 1","RNA Gene","","22","GC17M104773","1.43987381458282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP2-AS1"
"KAT7","Lysine Acetyltransferase 7","Protein Coding","O95251","57","GC17P049788","1.43635153770447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT7"
"PSMC4","Proteasome 26S Subunit, ATPase 4","Protein Coding","P43686","54","GC19P171631","1.43635153770447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC4"
"NR1D1","Nuclear Receptor Subfamily 1 Group D Member 1","Protein Coding","P20393","61","GC17M040092","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1D1"
"DCK","Deoxycytidine Kinase","Protein Coding","P27707","57","GC04P070992","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCK"
"GART","Phosphoribosylglycinamide Formyltransferase, Phosphoribosylglycinamide Synthetase, Phosphoribosylaminoimidazole Synthetase","Protein Coding","P22102","55","GC21M033503","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GART"
"TNFSF4","TNF Superfamily Member 4","Protein Coding","P23510","54","GC01M173183","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF4"
"AMY2B","Amylase Alpha 2B","Protein Coding","P19961","52","GC01P103554","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY2B"
"MRPL28","Mitochondrial Ribosomal Protein L28","Protein Coding","Q13084","47","GC16M000572","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL28"
"NCLN","Nicalin","Protein Coding","Q969V3","46","GC19P003185","1.43628346920013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCLN"
"RASSF10","Ras Association Domain Family Member 10","Protein Coding","A6NK89","36","GC11P025238","1.43492782115936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF10"
"RBM28","RNA Binding Motif Protein 28","Protein Coding","Q9NW13","50","GC07M129397","1.43317806720734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM28"
"ANKHD1","Ankyrin Repeat And KH Domain Containing 1","Protein Coding","Q8IWZ3","41","GC05P162537","1.43317806720734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKHD1"
"MAT2A","Methionine Adenosyltransferase 2A","Protein Coding","P31153","60","GC02P101967","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT2A"
"GNB1","G Protein Subunit Beta 1","Protein Coding","P62873","58","GC01M001785","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1"
"SLC3A2","Solute Carrier Family 3 Member 2","Protein Coding","P08195","57","GC11P129661","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2"
"PTX3","Pentraxin 3","Protein Coding","P26022","55","GC03P157436","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"GPER1","G Protein-Coupled Estrogen Receptor 1","Protein Coding","Q99527","54","GC07P031588","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPER1"
"ECT2","Epithelial Cell Transforming 2","Protein Coding","Q9H8V3","52","GC03P172750","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECT2"
"EIF3F","Eukaryotic Translation Initiation Factor 3 Subunit F","Protein Coding","O00303","51","GC11P007970","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3F"
"PRMT2","Protein Arginine Methyltransferase 2","Protein Coding","P55345","48","GC21P046635","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT2"
"VSIG4","V-Set And Immunoglobulin Domain Containing 4","Protein Coding","Q9Y279","48","GC0XM066021","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSIG4"
"PJA2","Praja Ring Finger Ubiquitin Ligase 2","Protein Coding","O43164","45","GC05M109334","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PJA2"
"TUSC2","Tumor Suppressor 2, Mitochondrial Calcium Regulator","Protein Coding","O75896","42","GC03M055368","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUSC2"
"CMTM3","CKLF Like MARVEL Transmembrane Domain Containing 3","Protein Coding","Q96MX0","41","GC16P137574","1.43057715892792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMTM3"
"CALCRL","Calcitonin Receptor Like Receptor","Protein Coding","Q16602","58","GC02M187341","1.43027925491333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCRL"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M169920","1.43027925491333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon","Protein Coding","P62258","63","GC17M103434","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAE"
"EIF4G1","Eukaryotic Translation Initiation Factor 4 Gamma 1","Protein Coding","Q04637","59","GC03P184314","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G1"
"RPA2","Replication Protein A2","Protein Coding","P15927","57","GC01M041427","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA2"
"RPN1","Ribophorin I","Protein Coding","P04843","56","GC03M128619","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPN1"
"KRT16","Keratin 16","Protein Coding","P08779","55","GC17M041609","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16"
"PDIA4","Protein Disulfide Isomerase Family A Member 4","Protein Coding","P13667","52","GC07M149003","1.43002259731293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA4"
"FHOD1","Formin Homology 2 Domain Containing 1","Protein Coding","Q9Y613","48","GC16M076492","1.42971551418304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHOD1"
"SFRP1","Secreted Frizzled Related Protein 1","Protein Coding","Q8N474","55","GC08M041262","1.42932903766632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1"
"ESR2","Estrogen Receptor 2","Protein Coding","Q92731","61","GC14M064084","1.42854332923889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"MIR409","MicroRNA 409","RNA Gene","","28","GC14P123654","1.42636632919312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR409"
"GSN","Gelsolin","Protein Coding","P06396","60","GC09P121201","1.42459356784821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSN"
"SIN3A","SIN3 Transcription Regulator Family Member A","Protein Coding","Q96ST3","58","GC15M075369","1.42343711853027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIN3A"
"FBXW11","F-Box And WD Repeat Domain Containing 11","Protein Coding","Q9UKB1","54","GC05M171861","1.42343711853027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW11"
"MIR136","MicroRNA 136","RNA Gene","","30","GC14P122624","1.42343711853027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR136"
